name,protein,cuisine,format,meal_type,red_flags,green_flags,red,orange_yellow,green,leafy_green,blue_purple,white_brown,vegetables
chicken broccoli mac and cheese,chicken,Amer,bowl,lunch,,universal,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,broccoli
tuscan chicken pasta,chicken,Ital,bowl,lunch,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,spinach
chicken tikka masala,chicken,Asian,bowl,dinner,two pans,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, cauliflower, carrots, peppers, cabbage, spinach, peas, onions"
chicken cordon bleu casserole,chicken,Euro,casserole,dinner,"raw meat manipulation, composed",,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, carrots, cucumber, lettuce, spinach, broccoli, green_beans, peas, onions"
chicken parm casserole,chicken,Ital,casserole,dinner,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, carrots, peppers, onions, mushrooms"
bbq chicken salad,chicken,Amer,salad,lunch,lots of chopping,lots of veggies,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"tomatoes, carrots, peppers, cucumber, lettuce, spinach, green_beans, onions, olives"
Chinese salad,chicken,Asian,salad,lunch,,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"carrots, peppers, cucumber, lettuce, spinach, peas, onions"
chicken bacon ranch salad,chicken,Amer,salad,lunch,lots of chopping,lots of veggies,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, carrots, peppers, cucumber, lettuce, spinach, onions"
chicken Greek salad,chicken,Euro,salad,lunch,lots of chopping,"lots of veggies, pantry staples",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"tomatoes, cucumber, lettuce, spinach, onions, olives, artichokes"
strawb/spinach salad w/ chic & feta,chicken,Amer,salad,lunch,,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,"lettuce, spinach, onions, artichokes"
chicken salad,chicken,Amer,sandwich,lunch,not universal,pantry staples,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, carrots, peppers, cucumber, celery, lettuce, spinach, peas, onions"
balsamic chicken with pasta,chicken,Ital,segmented,dinner,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, carrots, peppers, squash, onions"
italian dressing chicken,chicken,Ital,segmented,dinner,needs side and veg,premade items,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"tomatoes, carrots, peppers, cucumber, onions"
chicken & waffles w/ maple carrots,chicken,Amer,segmented,dinner,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,carrots
chicken satay,chicken,Asian,sheet pan,dinner,,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"cauliflower, carrots, peppers, cucumber, cabbage, kale, spinach, broccoli, green_beans, onions"
sheet pan chic kebabs & naan,chicken,Asian,sheet pan,dinner,needs veg,one pan,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, carrots, peppers, squash, onions, mushrooms"
chicken noodle soup,chicken,Amer,soup,dinner,,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"carrots, celery, peas, onions"
chicken and dumplings,chicken,Amer,soup,dinner,,"one pan, soup, premade items",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"carrots, celery, peas, onions"
fish boil,fish,Amer,bowl,dinner,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"cauliflower, carrots"
jambalaya,fish,Amer,bowl,dinner,,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"tomatoes, carrots, peppers, celery, green_beans, onions"
sushi bowls,fish,Asian,bowl,lunch,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"carrots, peppers, cucumber"
fish tacos,fish,Mexi,composed,dinner,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"cabbage, onions"
tuna salad,fish,Amer,sandwich,lunch,not universal,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, carrots, peppers, cucumber, celery, lettuce, peas, onions"
simplified fish and chips,fish,Euro,segmented,dinner,,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, cauliflower, carrots, cucumber, cabbage, lettuce, spinach, peas"
ginger honey soy salmon,fish,Asian,segmented,dinner,,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"cauliflower, carrots, peppers, cabbage, broccoli, green_beans, peas, onions"
jerk fish,fish,Amer,segmented,dinner,,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"tomatoes, cauliflower, carrots, peppers, cucumber, squash, green_beans, onions"
salmon and apricot rice,fish,Asian,segmented,dinner,,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"carrots, lettuce, broccoli, green_beans, peas, onions"
salmon bagel sandwich,fish,Amer,segmented,breakfast,,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, peppers, cucumber, lettuce, spinach, onions"
fried rice,leftovers,Asian,bowl,dinner,not universal,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"cauliflower, carrots, peppers, celery, cabbage, broccoli, green_beans, peas, onions"
lo mein,leftovers,Asian,bowl,dinner,,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"carrots, peppers, cabbage, broccoli, green_beans, peas, onions"
ramen,leftovers,Asian,bowl,lunch,,universal,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"carrots, peppers, cabbage, green_beans, peas, onions"
pasta salad,leftovers,Ital,bowl,lunch,not universal,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"tomatoes, carrots, peppers, cucumber, peas, onions, olives, artichokes"
quesadillas,leftovers,Mexi,composed,lunch,,universal,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, peppers, onions"
tacos,leftovers,Mexi,composed,dinner,,universal,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, peppers, cucumber, lettuce, onions"
pot pies,leftovers,Amer,composed,dinner,,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"carrots, celery, green_beans, peas, onions"
nachos,leftovers,Mexi,sheet pan,lunch,,universal,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"tomatoes, peppers, lettuce, onions, olives"
enchiladas,leftovers,Mexi,skillet,dinner,,universal,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, peppers, onions"
fajitas,leftovers,Mexi,skillet,dinner,,universal,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, carrots, peppers, onions"
Cafe Rio copycat salad,pork,Mexi,salad,lunch,,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"tomatoes, peppers, lettuce, onions"
pulled pork sandwiches,pork,Amer,sandwich,lunch,,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, carrots, peppers, cucumber, lettuce, spinach, green_beans, onions"
German dinner,pork,Euro,sheet pan,dinner,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,cabbage
Swedish meatballs,pork,Euro,skillet,dinner,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,green_beans
pork posole,pork,Mexi,soup,dinner,,universal,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"tomatoes, cabbage, onions"
bacon grits,processed,Amer,bowl,breakfast,,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"tomatoes, peppers, green_beans, onions"
loaded stuffing,processed,Amer,bowl,dinner,,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"carrots, celery, kale, green_beans, peas, onions"
black bean enchiladas,processed,Mexi,casserole,dinner,,universal,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"tomatoes, peppers, kale, onions"
breakfast burrito,processed,Mexi,composed,breakfast,,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"tomatoes, peppers, kale, onions"
breakfast pizza,processed,Amer,composed,breakfast,,universal,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"tomatoes, peppers, kale, onions, mushrooms"
charcuterie,processed,Euro,composed,dinner,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"tomatoes, carrots, peppers, cucumber, olives, mushrooms"
hawaiian pizza,processed,Amer,composed,dinner,,universal,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"tomatoes, peppers, kale, onions, olives"
pepperoni and olive pizza,processed,Ital,composed,dinner,,universal,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, carrots, peppers, onions, mushrooms"
sausage and peppers pizza,processed,Ital,composed,dinner,,universal,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, carrots, peppers, onions, mushrooms"
subway copycat salad,processed,Amer,salad,lunch,,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, carrots, peppers, cucumber, lettuce, spinach, onions"
bacon egg and cheese sandwich,processed,Amer,sandwich,breakfast,,universal,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, peppers, cucumber, lettuce, spinach, green_beans, onions, mushrooms"
BLTs,processed,Amer,sandwich,lunch,,universal,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, carrots, peppers, cucumber, lettuce, broccoli, onions"
lunchable,processed,Amer,sandwich,lunch,,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"tomatoes, carrots, peppers, cucumber, mushrooms"
reubens,processed,Euro,sandwich,dinner,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"cabbage, onions"
turkey sandwiches,processed,Amer,sandwich,lunch,not universal,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, carrots, peppers, cucumber, lettuce, spinach, green_beans, peas, onions"
breakfast corndogs,processed,Amer,segmented,breakfast,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"tomatoes, peppers, cucumber, green_beans"
cajun beans & cornbread w/sausage,processed,Amer,segmented,dinner,,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, carrots, peppers, cucumber, celery, kale, squash, green_beans, peas, onions"
corn dogs,processed,Amer,segmented,lunch,,universal,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"tomatoes, cauliflower, peppers, peas, onions"
biscuits and gravy,processed,Amer,segmented,breakfast,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"kale, green_beans, peas"
hot dogs,processed,Amer,segmented,lunch,,universal,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, peppers, cucumber, lettuce, peas, onions"
kielbasa potato veg skillet,processed,Euro,skillet,dinner,,universal,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, cauliflower, peppers, cabbage, kale, broccoli, green_beans, peas, onions"
denver omelette,processed,Amer,skillet,breakfast,,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"tomatoes, peppers, cucumber, onions, mushrooms"
zuppa toscana,processed,Ital,soup,dinner,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"kale, onions"
buffalo chickpeas,veg,Amer,bowl,lunch,not universal,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"cauliflower, carrots, peppers, cucumber, celery, lettuce"
elote succotash,veg,Mexi,bowl,lunch,not universal,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, peppers, onions"
apple berry quinoa,veg,Amer,bowl,breakfast,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,tomatoes
rice and beans,veg,non-specific,bowl,lunch,,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, carrots, peppers, celery, kale, broccoli, green_beans, onions"
pesto tortellini,veg,Ital,bowl,lunch,not universal,premade items,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, peppers, onions"
italian baked eggs,veg,Ital,bowl,dinner,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, carrots, peppers, onions, mushrooms"
oatmeal,veg,Amer,bowl,breakfast,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,tomatoes
overnight oats,veg,Amer,bowl,breakfast,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,tomatoes
parfaits,veg,Euro,bowl,breakfast,not universal,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,tomatoes
smoothie,veg,Amer,bowl,breakfast,cold,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"cucumber, spinach"
french toast casserole,veg,Euro,casserole,breakfast,,universal,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,tomatoes
chipotle black bean burritos,veg,Mexi,composed,lunch,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, peppers"
PB banana roll ups,veg,Amer,composed,breakfast,,universal,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,tomatoes
apple nachos with granola,veg,Amer,composed,breakfast,,universal,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,tomatoes
broccoli pizza,veg,Ital,composed,dinner,,universal,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, carrots, peppers, onions, mushrooms"
margherita pizza,veg,Ital,composed,dinner,,universal,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, carrots, peppers, onions, mushrooms"
protein granola bars,veg,Amer,composed,breakfast,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"carrots, squash"
egg and avocado sandwich,veg,Amer,sandwich,breakfast,not universal,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, peppers, cucumber, lettuce, spinach, green_beans, onions"
egg salad,veg,Amer,sandwich,lunch,not universal,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, carrots, peppers, cucumber, celery, lettuce, spinach, onions"
falafel pitas,veg,Asian,sandwich,lunch,,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"tomatoes, peppers, lettuce, onions"
potatoes and eggs,veg,Amer,segmented,breakfast,not universal,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"tomatoes, peppers, kale, onions, mushrooms"
chiles rellenos,veg,Mexi,segmented,dinner,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, peppers, onions"
apple cinnamon muffins,veg,Amer,segmented,breakfast,,universal,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,tomatoes
banana almond muffins,veg,Amer,segmented,breakfast,,universal,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,tomatoes
blueberry lemon muffins,veg,Amer,segmented,breakfast,,universal,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,tomatoes
carrot raisin muffins,veg,Amer,segmented,breakfast,,universal,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"carrots, cucumber"
choc chip pumpkin muffins,veg,Amer,segmented,breakfast,,universal,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,squash
cranberry orange muffins,veg,Amer,segmented,breakfast,,universal,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,tomatoes
double chocolate zucchini muffins,veg,Amer,segmented,breakfast,,universal,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,squash
grilled cheese and tomato soup,veg,Amer,segmented,lunch,,universal,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, cauliflower, peppers, cucumber, broccoli"
protein pancakes,veg,Amer,segmented,breakfast,standing,universal,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,tomatoes
huevos rancheros,veg,Mexi,skillet,breakfast,not universal,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"tomatoes, peppers, onions"
tortellini soup,veg,Ital,soup,dinner,chopping,"soup, universal",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"tomatoes, carrots, peppers, celery, kale, onions"
